Chromosome,Start,End,Build
1,5197576,5197657,GRCh37
1,5266809,5266866,GRCh37
1,5310800,5310936,GRCh37
1,5345710,5345790,GRCh37
1,5360719,5361091,GRCh37
1,5361506,5362096,GRCh37
1,5370843,5371000,GRCh37
1,5381018,5381166,GRCh37
1,5383023,5383028,GRCh37
1,5384067,5384100,GRCh37
1,5384852,5384893,GRCh37
1,5385392,5385400,GRCh37
1,5403725,5403933,GRCh37
1,5404828,5404866,GRCh37
1,5407451,5407472,GRCh37
1,5408082,5408315,GRCh37
1,5420000,5420020,GRCh37
1,5422156,5422365,GRCh37
1,5422616,5423100,GRCh37
1,5438800,5438878,GRCh37
1,5462387,5462661,GRCh37
1,5495639,5495640,GRCh37
1,5495790,5496040,GRCh37
1,5509703,5509958,GRCh37
1,5509969,5509980,GRCh37
1,5590869,5590871,GRCh37
1,5614124,5614575,GRCh37
1,5617403,5617433,GRCh37
1,5625790,5626010,GRCh37
1,5663318,5663344,GRCh37
1,5665447,5665525,GRCh37
1,5680802,5680880,GRCh37
1,5688790,5689254,GRCh37
1,5738602,5738713,GRCh37
1,5739360,5739384,GRCh37
1,5761237,5761238,GRCh37
1,5876677,5876878,GRCh37
1,7087501,7087516,GRCh37
1,7088256,7088266,GRCh37
1,7098460,7098514,GRCh37
1,7192325,7192353,GRCh37
1,7225150,7225432,GRCh37
1,7226081,7226133,GRCh37
1,7365425,7365520,GRCh37
1,7369347,7369348,GRCh37
1,7657030,7657200,GRCh37
1,11464170,11464202,GRCh37
1,11464470,11464590,GRCh37
1,12743957,12744202,GRCh37
1,12746509,12746553,GRCh37
1,12803088,12803132,GRCh37
1,12807800,12807822,GRCh37
1,12851623,12851742,GRCh37
1,12860808,12860883,GRCh37
1,12861864,12861867,GRCh37
1,12873138,12873139,GRCh37
1,12881343,12881512,GRCh37
1,12882544,12882549,GRCh37
1,12894699,12894754,GRCh37
1,12894815,12894817,GRCh37
1,12898327,12898336,GRCh37
1,12900531,12900928,GRCh37
1,12902100,12902534,GRCh37
1,12905996,12906052,GRCh37
1,12908350,12908534,GRCh37
1,12916934,12916941,GRCh37
1,12921878,12921943,GRCh37
1,12921982,12922030,GRCh37
1,12949457,12949512,GRCh37
1,12960747,12960776,GRCh37
1,12975270,12975297,GRCh37
1,12989382,12989455,GRCh37
1,12998042,12998112,GRCh37
1,13126441,13126442,GRCh37
1,13174623,13174704,GRCh37
1,13189273,13189385,GRCh37
1,13197557,13197596,GRCh37
1,13199448,13199592,GRCh37
1,13382332,13382371,GRCh37
1,13384844,13384846,GRCh37
1,13552570,13552584,GRCh37
1,13893989,13894000,GRCh37
1,13900597,13900601,GRCh37
1,13964358,13964404,GRCh37
1,14007647,14007699,GRCh37
1,14210652,14211002,GRCh37
1,14217582,14217600,GRCh37
1,14253410,14253460,GRCh37
1,14260399,14261283,GRCh37
1,14307218,14307240,GRCh37
1,14307577,14307584,GRCh37
1,14308035,14308143,GRCh37
1,14311266,14311300,GRCh37
1,14329838,14329842,GRCh37
1,14334767,14334981,GRCh37
1,14350844,14351266,GRCh37
1,14352286,14352656,GRCh37
1,14359410,14359860,GRCh37
1,14378841,14379242,GRCh37
1,14381356,14381419,GRCh37
1,14418967,14419026,GRCh37
1,14419120,14419256,GRCh37
1,14449450,14450728,GRCh37
1,14478270,14478527,GRCh37
1,14498700,14498905,GRCh37
1,14499014,14499051,GRCh37
1,14521330,14521516,GRCh37
1,14523833,14523864,GRCh37
1,14537582,14537705,GRCh37
1,14540927,14541137,GRCh37
1,14554703,14554729,GRCh37
1,14596659,14596661,GRCh37
1,14612292,14612560,GRCh37
1,14613067,14613785,GRCh37
1,14721451,14721466,GRCh37
1,14799828,14799842,GRCh37
1,14802329,14802400,GRCh37
1,14858931,14858951,GRCh37
1,17113624,17113672,GRCh37
1,17116609,17116658,GRCh37
1,18035800,18035967,GRCh37
1,18082481,18082580,GRCh37
1,18141426,18141447,GRCh37
1,18161034,18161060,GRCh37
1,18303760,18303848,GRCh37
1,18304610,18304615,GRCh37
1,18307461,18307501,GRCh37
1,18310436,18310459,GRCh37
1,18311527,18311751,GRCh37
1,18313135,18313193,GRCh37
1,18317030,18317071,GRCh37
1,18373462,18373513,GRCh37
1,18380772,18380783,GRCh37
1,18578213,18578262,GRCh37
1,18761000,18761123,GRCh37
1,18764151,18764175,GRCh37
1,18764757,18764761,GRCh37
1,18819469,18819495,GRCh37
1,18920071,18920200,GRCh37
1,18951494,18951576,GRCh37
1,19083304,19083305,GRCh37
1,19158504,19158619,GRCh37
1,19159387,19159391,GRCh37
1,19159863,19159864,GRCh37
1,19896974,19897049,GRCh37
1,20722809,20722908,GRCh37
1,20723610,20723638,GRCh37
1,20746094,20746096,GRCh37
1,20839000,20839030,GRCh37
1,20841093,20841101,GRCh37
1,20888960,20889000,GRCh37
1,22625361,22625408,GRCh37
1,23283525,23283568,GRCh37
1,23558705,23558706,GRCh37
1,23558986,23559158,GRCh37
1,23559223,23559261,GRCh37
1,24003439,24003460,GRCh37
1,24005423,24005598,GRCh37
1,24572578,24572680,GRCh37
1,25728352,25728355,GRCh37
1,26835743,26835799,GRCh37
1,26917654,26917736,GRCh37
1,26918618,26918620,GRCh37
1,26981031,26981032,GRCh37
1,26981389,26981404,GRCh37
1,26985569,26985579,GRCh37
1,27407595,27407596,GRCh37
1,27409741,27409787,GRCh37
1,27497106,27497123,GRCh37
1,27505539,27505540,GRCh37
1,27541170,27541199,GRCh37
1,27541658,27541676,GRCh37
1,27542271,27542427,GRCh37
1,28025677,28025773,GRCh37
1,28026000,28026230,GRCh37
1,28026596,28026598,GRCh37
1,28027270,28027450,GRCh37
1,28030861,28030874,GRCh37
1,28031077,28031118,GRCh37
1,29134910,29134921,GRCh37
1,29734220,29734282,GRCh37
1,29735177,29735800,GRCh37
1,29808301,29808576,GRCh37
1,29839707,29839802,GRCh37
1,29860275,29860422,GRCh37
1,29863064,29863121,GRCh37
1,30099541,30099546,GRCh37
1,30099638,30099720,GRCh37
1,30099886,30100059,GRCh37
1,30190639,30190764,GRCh37
1,30192800,30192809,GRCh37
1,30193912,30194103,GRCh37
1,30240994,30241206,GRCh37
1,30243191,30243205,GRCh37
1,30505466,30505496,GRCh37
1,30684329,30684333,GRCh37
1,30685670,30685673,GRCh37
1,30706166,30706207,GRCh37
1,30799436,30799520,GRCh37
1,30801168,30801265,GRCh37
1,30806104,30806451,GRCh37
1,30829952,30830235,GRCh37
1,30898800,30899045,GRCh37
1,30911218,30911219,GRCh37
1,30959296,30959304,GRCh37
1,30964513,30964800,GRCh37
1,30972403,30972728,GRCh37
1,31021327,31021330,GRCh37
1,31022092,31022238,GRCh37
1,31026502,31026520,GRCh37
1,31038368,31038483,GRCh37
1,31560783,31560800,GRCh37
1,31563370,31563611,GRCh37
1,34691155,34691168,GRCh37
1,34693746,34693756,GRCh37
1,34694476,34694638,GRCh37
1,34697142,34697164,GRCh37
1,34699891,34699944,GRCh37
1,34705218,34705372,GRCh37
1,34709069,34709072,GRCh37
1,34715008,34715017,GRCh37
1,34727639,34727951,GRCh37
1,34728158,34728639,GRCh37
1,34746778,34746790,GRCh37
1,34753401,34753470,GRCh37
1,34753941,34754235,GRCh37
1,34754750,34754917,GRCh37
1,34756821,34756827,GRCh37
1,34770694,34770695,GRCh37
1,34781082,34781083,GRCh37
1,34786714,34786959,GRCh37
1,34792113,34792250,GRCh37
1,34793654,34793740,GRCh37
1,34808355,34808356,GRCh37
1,34808613,34808664,GRCh37
1,34815785,34815793,GRCh37
1,34821017,34821066,GRCh37
1,34822000,34822140,GRCh37
1,34894965,34895255,GRCh37
1,34904407,34904410,GRCh37
1,34911758,34911811,GRCh37
1,34917200,34917524,GRCh37
1,34923092,34923097,GRCh37
1,34926800,34926829,GRCh37
1,34928090,34928307,GRCh37
1,34950216,34950372,GRCh37
1,34950474,34950477,GRCh37
1,34954400,34954419,GRCh37
1,34961279,34961282,GRCh37
1,34964766,34964843,GRCh37
1,34969082,34969112,GRCh37
1,34971568,34971584,GRCh37
1,34975217,34975411,GRCh37
1,34983555,34983683,GRCh37
1,34987835,34988273,GRCh37
1,34988417,34988691,GRCh37
1,34988881,34989082,GRCh37
1,35001490,35001542,GRCh37
1,35002462,35002900,GRCh37
1,35138419,35138439,GRCh37
1,35142210,35142213,GRCh37
1,35157889,35158120,GRCh37
1,35172755,35172882,GRCh37
1,35173704,35173737,GRCh37
1,35181427,35181526,GRCh37
1,35182600,35182652,GRCh37
1,35184572,35185075,GRCh37
1,35185683,35186222,GRCh37
1,35189086,35189356,GRCh37
1,35189541,35189635,GRCh37
1,35190274,35190281,GRCh37
1,35398626,35398645,GRCh37
1,35401129,35401148,GRCh37
1,35406086,35406151,GRCh37
1,35407469,35407512,GRCh37
1,35408747,35408773,GRCh37
1,35409194,35409357,GRCh37
1,35410127,35410132,GRCh37
1,35410187,35410211,GRCh37
1,35410236,35410246,GRCh37
1,35413175,35413213,GRCh37
1,35414369,35414408,GRCh37
1,35414503,35414600,GRCh37
1,35417419,35417424,GRCh37
1,35428433,35428439,GRCh37
1,35517510,35517547,GRCh37
1,35524018,35524019,GRCh37
1,35533687,35533693,GRCh37
1,35592819,35592820,GRCh37
1,35707205,35707305,GRCh37
1,36247460,36247538,GRCh37
1,36997160,36997184,GRCh37
1,37014632,37014633,GRCh37
1,37028648,37028754,GRCh37
1,37145651,37145655,GRCh37
1,37207181,37207201,GRCh37
1,37207379,37207407,GRCh37
1,37208985,37209033,GRCh37
1,37212568,37212700,GRCh37
1,37556906,37556929,GRCh37
1,37625823,37625839,GRCh37
1,37656823,37657480,GRCh37
1,37658651,37658688,GRCh37
1,37669023,37669025,GRCh37
1,38076399,38076437,GRCh37
1,38091930,38092200,GRCh37
1,38104800,38105000,GRCh37
1,38112926,38113158,GRCh37
1,38247675,38247683,GRCh37
1,38257036,38257084,GRCh37
1,38616594,38616600,GRCh37
1,38626966,38626990,GRCh37
1,38671200,38671759,GRCh37
1,39045102,39045109,GRCh37
1,39062600,39062615,GRCh37
1,39062926,39062930,GRCh37
1,39062948,39063137,GRCh37
1,39063580,39063713,GRCh37
1,39067673,39067792,GRCh37
1,39103727,39103742,GRCh37
1,39107893,39107897,GRCh37
1,39217801,39217897,GRCh37
1,39219104,39219108,GRCh37
1,39220251,39220433,GRCh37
1,39225305,39225397,GRCh37
1,40612259,40612482,GRCh37
1,41025405,41025946,GRCh37
1,41029483,41029495,GRCh37
1,41032302,41032304,GRCh37
1,41035041,41035180,GRCh37
1,41041512,41041518,GRCh37
1,41042140,41042152,GRCh37
1,41046119,41046269,GRCh37
1,41050427,41050520,GRCh37
1,42522430,42522517,GRCh37
1,42534365,42534597,GRCh37
1,42535131,42535469,GRCh37
1,42562233,42562237,GRCh37
1,42562674,42562676,GRCh37
1,42573910,42573940,GRCh37
1,42574740,42575009,GRCh37
1,42577011,42577100,GRCh37
1,42584926,42585184,GRCh37
1,42591977,42592160,GRCh37
1,42833097,42833102,GRCh37
1,43577975,43577997,GRCh37
1,43649955,43650112,GRCh37
1,43652309,43652315,GRCh37
1,43949127,43949138,GRCh37
1,44590467,44590478,GRCh37
1,44592879,44592902,GRCh37
1,44601180,44601186,GRCh37
1,44603688,44603777,GRCh37
1,44606835,44606951,GRCh37
1,44632060,44632061,GRCh37
1,44647836,44648146,GRCh37
1,44657709,44657759,GRCh37
1,44673827,44673835,GRCh37
1,44841550,44841790,GRCh37
1,44857513,44857523,GRCh37
1,44857602,44857628,GRCh37
1,44858635,44858857,GRCh37
1,45698003,45698040,GRCh37
1,45705198,45705204,GRCh37
1,46241952,46241960,GRCh37
1,46244442,46244563,GRCh37
1,46248033,46248043,GRCh37
1,46248550,46248635,GRCh37
1,47200962,47201005,GRCh37
1,47201142,47201274,GRCh37
1,47201859,47201892,GRCh37
1,47207220,47207232,GRCh37
1,47207743,47207800,GRCh37
1,47213219,47213249,GRCh37
1,47322352,47322399,GRCh37
1,47333811,47333843,GRCh37
1,47333856,47333940,GRCh37
1,47343428,47343440,GRCh37
1,47343622,47343726,GRCh37
1,47355490,47355491,GRCh37
1,47363561,47363606,GRCh37
1,47365898,47365930,GRCh37
1,47383828,47383830,GRCh37
1,47468820,47469113,GRCh37
1,47535344,47535389,GRCh37
1,47954212,47954219,GRCh37
1,47960164,47960198,GRCh37
1,47972013,47972185,GRCh37
1,48072330,48072353,GRCh37
1,48137332,48137351,GRCh37
1,48475345,48475347,GRCh37
1,48554995,48555040,GRCh37
1,48589650,48589723,GRCh37
1,48594800,48594955,GRCh37
1,48595274,48595301,GRCh37
1,48607558,48607669,GRCh37
1,48630800,48630833,GRCh37
1,48736000,48736129,GRCh37
1,48977121,48977627,GRCh37
1,49002887,49003000,GRCh37
1,49053054,49053153,GRCh37
1,49053612,49053627,GRCh37
1,49100523,49100612,GRCh37
1,49102255,49102340,GRCh37
1,49107850,49108187,GRCh37
1,49129000,49129025,GRCh37
1,49368251,49368339,GRCh37
1,49434743,49434744,GRCh37
1,49437110,49437114,GRCh37
1,49438486,49438576,GRCh37
1,49440249,49440298,GRCh37
1,49460077,49460800,GRCh37
1,49463210,49463269,GRCh37
1,49463961,49464070,GRCh37
1,49466388,49466604,GRCh37
1,49467490,49467527,GRCh37
1,49492370,49492382,GRCh37
1,49494364,49494376,GRCh37
1,49495786,49495788,GRCh37
1,49501804,49501807,GRCh37
1,49507135,49507140,GRCh37
1,49530359,49530389,GRCh37
1,49533371,49533429,GRCh37
1,49533671,49533908,GRCh37
1,49541759,49541824,GRCh37
1,49545542,49545650,GRCh37
1,49577083,49577314,GRCh37
1,49588517,49588521,GRCh37
1,49588931,49589020,GRCh37
1,49591817,49592040,GRCh37
1,49592132,49592170,GRCh37
1,49609662,49609693,GRCh37
1,49610692,49610972,GRCh37
1,49613437,49613655,GRCh37
1,49614163,49614200,GRCh37
1,49615948,49615973,GRCh37
1,49620242,49620258,GRCh37
1,49621730,49622019,GRCh37
1,49641317,49641788,GRCh37
1,49646242,49646320,GRCh37
1,49648356,49648406,GRCh37
1,49652600,49652648,GRCh37
1,49667519,49667727,GRCh37
1,49686580,49686941,GRCh37
1,49691478,49691599,GRCh37
1,49697736,49697737,GRCh37
1,49698937,49699087,GRCh37
1,49699225,49699260,GRCh37
1,49710105,49710118,GRCh37
1,49712938,49712974,GRCh37
1,49742765,49743112,GRCh37
1,49744170,49744457,GRCh37
1,49770079,49770615,GRCh37
1,49771877,49771944,GRCh37
1,49774261,49774360,GRCh37
1,49774670,49774759,GRCh37
1,49786329,49786409,GRCh37
1,49789275,49789318,GRCh37
1,49792441,49792447,GRCh37
1,49794119,49794175,GRCh37
1,49795437,49795614,GRCh37
1,49796110,49796137,GRCh37
1,49796436,49796439,GRCh37
1,49827346,49827424,GRCh37
1,49830067,49830078,GRCh37
1,49831945,49831950,GRCh37
1,49834280,49834413,GRCh37
1,49837658,49838130,GRCh37
1,49842625,49842881,GRCh37
1,49843622,49843783,GRCh37
1,49844096,49844212,GRCh37
1,49845025,49845158,GRCh37
1,49860631,49860747,GRCh37
1,49861901,49862002,GRCh37
1,49869395,49869446,GRCh37
1,49873301,49873474,GRCh37
1,49880807,49880879,GRCh37
1,49887954,49887983,GRCh37
1,49890319,49890403,GRCh37
1,49890408,49890633,GRCh37
1,49894393,49894450,GRCh37
1,49894499,49894522,GRCh37
1,49894569,49894609,GRCh37
1,49894711,49894746,GRCh37
1,49896905,49896907,GRCh37
1,49899225,49899250,GRCh37
1,49901150,49901276,GRCh37
1,49903105,49903160,GRCh37
1,49917195,49917359,GRCh37
1,49919565,49919586,GRCh37
1,49921718,49921720,GRCh37
1,49928400,49928613,GRCh37
1,49929069,49929112,GRCh37
1,49933716,49933746,GRCh37
1,49933886,49933943,GRCh37
1,49967115,49967121,GRCh37
1,49974208,49974269,GRCh37
1,49979549,49979554,GRCh37
1,49982817,49982824,GRCh37
1,49982852,49982912,GRCh37
1,49983082,49983218,GRCh37
1,49986198,49986481,GRCh37
1,49990393,49990604,GRCh37
1,49997478,49997840,GRCh37
1,49997941,49998346,GRCh37
1,49999891,50000168,GRCh37
1,50009943,50010279,GRCh37
1,50011217,50011227,GRCh37
1,50018787,50018892,GRCh37
1,50019803,50019820,GRCh37
1,50033119,50033170,GRCh37
1,50035192,50035258,GRCh37
1,50049621,50049989,GRCh37
1,50050450,50050477,GRCh37
1,50070299,50070540,GRCh37
1,50076506,50076539,GRCh37
1,50080641,50080648,GRCh37
1,50089061,50089191,GRCh37
1,50089782,50089795,GRCh37
1,50089842,50089866,GRCh37
1,50091427,50091718,GRCh37
1,50092179,50092180,GRCh37
1,50097722,50098280,GRCh37
1,50100445,50100501,GRCh37
1,50103854,50104157,GRCh37
1,50115778,50115791,GRCh37
1,50129982,50130118,GRCh37
1,50140359,50140379,GRCh37
1,50149151,50149256,GRCh37
1,50160370,50160413,GRCh37
1,50160736,50160751,GRCh37
1,50161838,50162038,GRCh37
1,50163556,50163830,GRCh37
1,50164269,50164429,GRCh37
1,50187637,50187640,GRCh37
1,50190183,50190268,GRCh37
1,50213671,50213680,GRCh37
1,50240730,50240803,GRCh37
1,50251142,50251496,GRCh37
1,50251523,50251565,GRCh37
1,50257658,50257927,GRCh37
1,50258920,50259110,GRCh37
1,50261325,50261346,GRCh37
1,50274365,50274390,GRCh37
1,50277426,50277489,GRCh37
1,50293793,50293824,GRCh37
1,50294900,50294933,GRCh37
1,50295207,50295296,GRCh37
1,50305364,50305731,GRCh37
1,50316390,50316406,GRCh37
1,50316567,50317050,GRCh37
1,50326375,50326382,GRCh37
1,50340131,50340157,GRCh37
1,50348440,50348481,GRCh37
1,50349280,50349502,GRCh37
1,50349739,50349814,GRCh37
1,50365392,50365430,GRCh37
1,50369809,50369890,GRCh37
1,50371382,50371650,GRCh37
1,50386928,50387044,GRCh37
1,50387678,50387751,GRCh37
1,50408929,50408935,GRCh37
1,50419442,50419552,GRCh37
1,50420308,50420493,GRCh37
1,50422835,50422916,GRCh37
1,50426486,50426898,GRCh37
1,50429357,50429651,GRCh37
1,50436508,50436584,GRCh37
1,50439847,50439939,GRCh37
1,50453593,50453717,GRCh37
1,50457695,50457761,GRCh37
1,50467593,50468031,GRCh37
1,50478460,50478464,GRCh37
1,50484376,50484721,GRCh37
1,50500515,50500615,GRCh37
1,50503100,50503190,GRCh37
1,50504598,50504753,GRCh37
1,50507683,50507961,GRCh37
1,50519301,50519308,GRCh37
1,50519911,50519936,GRCh37
1,50526270,50526685,GRCh37
1,50528284,50528537,GRCh37
1,50528736,50528886,GRCh37
1,50529878,50530110,GRCh37
1,50530114,50530147,GRCh37
1,50535958,50535992,GRCh37
1,50548997,50548999,GRCh37
1,50551112,50551468,GRCh37
1,50555453,50556000,GRCh37
1,50556564,50556568,GRCh37
1,50557169,50557172,GRCh37
1,50559918,50560296,GRCh37
1,50693358,50693474,GRCh37
1,50698929,50698954,GRCh37
1,50765560,50765600,GRCh37
1,50768870,50768874,GRCh37
1,50784112,50784608,GRCh37
1,50784984,50785516,GRCh37
1,50787190,50787237,GRCh37
1,50788738,50789603,GRCh37
1,50791769,50791778,GRCh37
1,50792722,50792789,GRCh37
1,50803594,50803606,GRCh37
1,50832302,50832303,GRCh37
1,50839131,50839240,GRCh37
1,50843566,50843714,GRCh37
1,50850180,50850191,GRCh37
1,50856972,50856980,GRCh37
1,50860575,50860621,GRCh37
1,50862243,50862253,GRCh37
1,50863459,50863518,GRCh37
1,50878610,50878631,GRCh37
1,51483778,51483811,GRCh37
1,51488036,51488143,GRCh37
1,51501094,51501537,GRCh37
1,51510314,51510374,GRCh37
1,51512101,51512143,GRCh37
1,51578790,51579029,GRCh37
1,51596220,51596232,GRCh37
1,51611774,51611848,GRCh37
1,51613752,51613774,GRCh37
1,51644282,51644285,GRCh37
1,51644638,51645000,GRCh37
1,51646950,51646953,GRCh37
1,51653768,51653779,GRCh37
1,52350882,52350912,GRCh37
1,52354479,52354578,GRCh37
1,52360957,52361596,GRCh37
1,52459541,52459600,GRCh37
1,54215566,54215801,GRCh37
1,54218893,54219237,GRCh37
1,54460937,54460946,GRCh37
1,54903882,54903891,GRCh37
1,54904085,54904112,GRCh37
1,54905800,54905970,GRCh37
1,55805350,55805470,GRCh37
1,55805477,55805490,GRCh37
1,55861586,55861600,GRCh37
1,55928343,55928415,GRCh37
1,56130293,56130327,GRCh37
1,56132512,56132514,GRCh37
1,56231730,56231781,GRCh37
1,56355400,56355437,GRCh37
1,56468931,56469313,GRCh37
1,56469875,56469920,GRCh37
1,56580200,56580220,GRCh37
1,56582412,56582458,GRCh37
1,56687025,56687291,GRCh37
1,56690409,56690741,GRCh37
1,57058608,57058736,GRCh37
1,57060139,57060263,GRCh37
1,57067926,57067932,GRCh37
1,57073358,57073363,GRCh37
1,57074400,57074404,GRCh37
1,57079821,57079832,GRCh37
1,58036945,58037000,GRCh37
1,58104591,58104592,GRCh37
1,58106513,58106751,GRCh37
1,58107734,58107800,GRCh37
1,58118565,58118686,GRCh37
1,58120117,58120312,GRCh37
1,58120430,58120483,GRCh37
1,58141477,58141484,GRCh37
1,58142552,58142595,GRCh37
1,58171789,58171896,GRCh37
1,58172284,58172390,GRCh37
1,58200752,58200756,GRCh37
1,58201227,58201281,GRCh37
1,58204189,58204324,GRCh37
1,58206190,58206210,GRCh37
1,58244281,58244283,GRCh37
1,58256847,58256882,GRCh37
1,58273898,58273902,GRCh37
1,58274200,58274235,GRCh37
1,58281039,58281056,GRCh37
1,58282070,58282130,GRCh37
1,58395674,58395679,GRCh37
1,58401387,58401398,GRCh37
1,58402347,58402351,GRCh37
1,58405041,58405113,GRCh37
1,58412921,58413063,GRCh37
1,58416022,58416073,GRCh37
1,58421030,58421206,GRCh37
1,58443268,58443451,GRCh37
1,58535891,58535978,GRCh37
1,58546457,58546616,GRCh37
1,58641822,58642104,GRCh37
1,58650760,58650919,GRCh37
1,58651569,58651591,GRCh37
1,58652282,58652474,GRCh37
1,58668666,58669045,GRCh37
1,58670822,58670962,GRCh37
1,59019157,59019200,GRCh37
1,59022455,59022687,GRCh37
1,59022997,59023243,GRCh37
1,60428344,60428363,GRCh37
1,60468046,60468047,GRCh37
1,60469153,60469336,GRCh37
1,60469437,60469744,GRCh37
1,60473378,60473881,GRCh37
1,60474008,60474076,GRCh37
1,60514374,60514484,GRCh37
1,60585114,60585162,GRCh37
1,60640585,60640869,GRCh37
1,60641131,60641352,GRCh37
1,60641731,60641797,GRCh37
1,60642531,60642597,GRCh37
1,60644502,60644512,GRCh37
1,60672029,60672137,GRCh37
1,60678072,60678297,GRCh37
1,60705936,60705966,GRCh37
1,60756940,60757764,GRCh37
1,60762287,60762693,GRCh37
1,60771446,60771462,GRCh37
1,60782446,60782448,GRCh37
1,60783870,60784019,GRCh37
1,60786020,60786021,GRCh37
1,60800230,60800944,GRCh37
1,60804551,60804934,GRCh37
1,60806654,60806708,GRCh37
1,60808979,60809294,GRCh37
1,60813660,60814000,GRCh37
1,60816577,60816582,GRCh37
1,60840545,60840800,GRCh37
1,60849524,60849604,GRCh37
1,60853190,60853200,GRCh37
1,60865517,60865751,GRCh37
1,60866525,60867120,GRCh37
1,60867290,60867372,GRCh37
1,60870230,60870384,GRCh37
1,60873336,60873500,GRCh37
1,60876635,60877075,GRCh37
1,60887314,60887510,GRCh37
1,60888438,60888453,GRCh37
1,60909155,60909431,GRCh37
1,60910681,60910800,GRCh37
1,60919640,60919884,GRCh37
1,60945838,60945868,GRCh37
1,60948462,60948600,GRCh37
1,60982030,60982047,GRCh37
1,61074690,61074693,GRCh37
1,61074853,61074900,GRCh37
1,61075689,61075855,GRCh37
1,61309832,61310007,GRCh37
1,61530638,61530805,GRCh37
1,61532746,61532772,GRCh37
1,61994745,61994750,GRCh37
1,61994811,61995084,GRCh37
1,62038690,62038844,GRCh37
1,63375467,63375535,GRCh37
1,63377679,63377712,GRCh37
1,63382076,63382400,GRCh37
1,63390719,63390783,GRCh37
1,63399870,63399892,GRCh37
1,63415045,63415046,GRCh37
1,63415419,63415432,GRCh37
1,63434531,63434963,GRCh37
1,63437240,63437278,GRCh37
1,63437757,63437806,GRCh37
1,63439322,63439496,GRCh37
1,63452091,63452178,GRCh37
1,63453548,63453550,GRCh37
1,63495103,63495116,GRCh37
1,63496416,63496424,GRCh37
1,63500833,63500924,GRCh37
1,63501608,63501611,GRCh37
1,63514770,63514935,GRCh37
1,63524763,63524895,GRCh37
1,63524935,63525276,GRCh37
1,63528388,63528467,GRCh37
1,63541000,63541009,GRCh37
1,63545143,63545356,GRCh37
1,63556174,63556177,GRCh37
1,63562531,63562713,GRCh37
1,63623800,63624205,GRCh37
1,63625191,63625596,GRCh37
1,63632363,63632409,GRCh37
1,63635526,63635737,GRCh37
1,63636591,63636655,GRCh37
1,63638105,63638174,GRCh37
1,63639600,63639636,GRCh37
1,63642870,63642918,GRCh37
1,63643228,63643244,GRCh37
1,63645307,63645393,GRCh37
1,63646276,63646333,GRCh37
1,63647841,63647895,GRCh37
1,63650147,63650260,GRCh37
1,63672261,63672295,GRCh37
1,63682886,63682902,GRCh37
1,63687337,63687720,GRCh37
1,63688040,63688556,GRCh37
1,63744665,63744808,GRCh37
1,63746890,63747056,GRCh37
1,63747825,63748000,GRCh37
1,63799183,63799239,GRCh37
1,63806763,63806769,GRCh37
1,63816439,63816494,GRCh37
1,63824063,63824086,GRCh37
1,64671239,64671251,GRCh37
1,64672550,64672625,GRCh37
1,64847592,64847679,GRCh37
1,64897425,64897515,GRCh37
1,64924863,64924978,GRCh37
1,64926674,64926718,GRCh37
1,64926934,64926954,GRCh37
1,64934527,64934532,GRCh37
1,65583045,65583053,GRCh37
1,65594198,65594200,GRCh37
1,65596870,65597098,GRCh37
